A,B,a,b,y,z,w,x,AS,BS,deltaA,deltaB,FER,Bratio
15,15,1.217,3.83,0.755,1.915,3.601,2.11,intermediate,Over-defense,12.8089419605665,0,0,0
12,16,2.479,2.08,1.759,0.761,2.72,2.446,intermediate,intermediate,4.475,7.18397383483238,1.20401796114509,0.448998364677024
12,12,2.08,3.618,0.562,0.858,2.145,3.37,Over-destroyed,intermediate,12,4.3513353115727,0.362611275964392,0.362611275964392
9,10,2.344,1.1,1.932,1.689,3.386,2.477,Over-defense,intermediate,0,1.6980218005652,Inf,0.16980218005652
11,16,3.384,3.953,0.761,0.685,2.575,2.92,Over-destroyed,intermediate,11,8.9945205479452,0.562157534246575,0.562157534246575
9,16,4,1.898,1.856,1.947,3.049,2.65,intermediate,intermediate,4.48146933420794,1.82943396226415,0.229624823251292,0.114339622641509
12,11,3.659,2.315,0.7,0.591,3.292,3.479,intermediate,intermediate,5.18377885783718,10.752227651624,2.26277069573425,0.97747524105673
9,11,2.415,3.888,0.932,0.808,2.626,2.783,Over-destroyed,intermediate,9,4.61624146604384,0.419658315094894,0.419658315094894
13,11,1.393,1.675,1.874,1.762,3.918,3.468,Over-defense,Over-defense,0,0,NA,0
9,12,2.297,1.646,1.935,1.856,2.841,3.112,intermediate,Over-defense,0.82259767687434,0,0,0
18,11,1.2,1.029,0.515,0.805,3.499,3.636,intermediate,intermediate,0.585595884538439,3.50522552255225,9.79484954351951,0.318656865686569
15,12,2.626,3.507,0.77,1.927,3.491,2.239,intermediate,intermediate,8.74649097679748,7.26485037963376,1.03825214004476,0.605404198302814
11,11,2.245,2.133,1.566,1.683,3.706,2.376,intermediate,intermediate,1.68294657312466,2.60185185185185,1.54600977440484,0.236531986531986
18,18,3.724,1.986,1.205,1.78,2.282,3.104,intermediate,intermediate,6.16038562664329,11.2731958762887,1.82994970761778,0.626288659793815
11,11,3.425,3.125,1.88,0.943,2.877,2.215,intermediate,Over-destroyed,4.76016684045881,11,2.31084337349398,1
17,11,3.325,3.977,1.26,0.779,2.501,3.847,intermediate,Over-destroyed,8.92722910835666,11,1.90428629014198,1
14,10,3.695,2.256,0.691,0.541,3.272,2.544,intermediate,Over-destroyed,3.93826405867971,10,3.5548657457706,1
11,18,1.922,3.102,1.847,1.466,3.198,3.973,Over-destroyed,Over-defense,11,0,0,0
10,18,1.575,3.436,1.524,1.26,2.02,3.538,Over-destroyed,Over-defense,10,0,0,0
18,11,1,1.534,1.008,0.606,2.446,3.366,Over-defense,intermediate,0,3.36720142602496,Inf,0.306109220547723
10,10,2.896,3.93,1.827,1.924,2.254,2.716,intermediate,intermediate,9.33007985803017,3.57879234167894,0.383575745988794,0.357879234167894
14,11,1.294,1.54,0.843,1.607,3.346,2.548,intermediate,intermediate,1.53556485355649,0.172291993720565,0.142801340349024,0.0156629085200514
13,15,1.182,1.076,1.527,0.758,3.796,3.483,Over-defense,intermediate,0,1.14728682170543,Inf,0.0764857881136951
18,11,2.755,1.975,1.419,1.968,4,2.153,Over-defense,Over-destroyed,0,11,Inf,1
10,18,2.515,1.628,0.717,1.386,2.779,2.137,intermediate,intermediate,7.9647355163728,0.0945250350959313,0.0065933022231156,0.00525139083866285
13,11,3.025,3.055,0.776,0.515,3.554,2.008,intermediate,Over-destroyed,6.61705120990433,11,1.96462133775567,1
12,11,3.16,2.327,1.742,1.513,3.757,2.779,intermediate,intermediate,1.24913494809689,7.65635120546959,6.68653386566823,0.696031927769963
12,10,2.685,2.151,1.51,0.885,2.853,3.084,intermediate,intermediate,1.18822292323869,7.57782101167315,7.65292861816054,0.757782101167315
16,11,2.732,1.481,0.585,1.668,3.546,2.975,intermediate,intermediate,1.9545967287084,8.52571428571429,6.34455116950572,0.775064935064935
11,18,1.446,2.38,1.912,1.756,3.389,3.706,intermediate,Over-defense,6.43493655945707,0,0,0
14,11,1.851,3.466,0.946,0.705,2.172,2.607,intermediate,intermediate,11.4558011049724,6.96547756041427,0.773857120726473,0.633225232764934
18,11,1.082,1.299,1.639,1.372,3.19,3.28,Over-defense,intermediate,0,1.33658536585366,Inf,0.121507760532151
15,11,3.29,2.65,0.556,1.789,2.45,3.252,intermediate,intermediate,8.49387755102041,9.12392373923739,1.46478614921574,0.829447612657945
10,11,3.847,3.096,1.598,0.773,3.933,2.861,intermediate,intermediate,4.59598271039919,10.4743096819294,2.07183105569556,0.95220997108449
14,10,3.554,3.595,0.703,1.146,2.372,3.836,intermediate,intermediate,11.0067453625632,9.98331595411887,1.26982517314379,0.998331595411887
